Day,Date,8.30-9.00,9.00-10.00,10.00-11.00,11.00-12.00,12.00-1.00,Total,Column1,5.00-6.00,6.00-7.00,7.00-8.00,Total2,InsertDateTime
Friday,1st July,,,,,,,,,,,,30/07/2022 17:00
Saturday,2nd July,,,,,,,,,,,0,30/07/2022 17:00
Sunday,3rd July,Closed,,,,,,,,,,,30/07/2022 17:00
Monday,4th July,5,8,14,3,3,33,,,,,0,30/07/2022 17:00
Tuesday,5th July,5,7,6,6,,24,,,,,0,30/07/2022 17:00
Wednesday,6th July,5,5,12,7,3,32,,,,,0,30/07/2022 17:00
Thursday,7th July,,11,10,1,,22,,,,,0,30/07/2022 17:00
Friday,8th July,4,9,3,6,,22,,,,,0,30/07/2022 17:00
Saturday,9th July,,,,,,0,,,,,0,30/07/2022 17:00
Sunday,10th July,Closed,,,,,,,,,,,30/07/2022 17:00
Monday,11th July,2,5,7,1,,15,,,,,0,30/07/2022 17:00
Tuesday,12th July,3,4,11,9,,27,,,,,0,30/07/2022 17:00
Wednesday,13th July,1,11,8,7,,27,,,,,0,30/07/2022 17:00
Thursday,14th July,8,5,4,5,2,24,,,,,0,30/07/2022 17:00
Friday,15th July,4,3,6,6,5,,,,,,0,30/07/2022 17:00
Saturday,16th July,,,,,,,,,,,,30/07/2022 17:00
Sunday,17th July,Closed,,,,,,,,,,,30/07/2022 17:00
Monday,18th July,3,12,13,3,,31,,,,,0,30/07/2022 17:00
Tuesday,19th July,9,9,12,4,1,35,,,,,0,30/07/2022 17:00
Tuesday,19th July,8,9,10,2,1,30,,,,,0,01/08/2022 17:00
Wednesday,20th July,7,8,14,5,1,35,,,,,0,30/07/2022 17:00
Thursday,21st July,7,13,6,3,,29,,,,,,30/07/2022 17:00
Friday,22nd July,6,7,6,6,,25,,,,,,30/07/2022 17:00
Saturday,23rd July,,,,,,0,,,,,0,30/07/2022 17:00
Sunday,24th July,Closed,,,,,,,,,,,30/07/2022 17:00
Monday,25th July,8,4,7,5,5,29,,,,,0,30/07/2022 17:00
Tuesday,26th July,2,6,4,5,1,18,,,,,0,30/07/2022 17:00
Wednesday,27th July,5,10,8,4,7,34,,,,,0,30/07/2022 17:00
Thursday,28th July,5,4,3,2,7,21,,,,,,30/07/2022 17:00
Friday,29th July,5,7,9,3,0,24,,,,,,30/07/2022 17:00
Saturday,30th July,,,,,,0,,,,,0,30/07/2022 17:00
Sunday,31st July,Closed,,,,,,,,,,,30/07/2022 17:00
