Day,Date,8.30-9.00,9.00-10.00,10.00-11.00,11.00-12.00,12.00-1.00,Total,Column1,5.00-6.00,6.00-7.00,7.00-8.00,Total2,InsertDateTime
Wednesday,1st June,5,8,5,2,4,24,,,,,,30/06/2022 17:00
Thursday,2nd June,4,6,1,4,,15,,7,,,7,30/06/2022 17:00
Friday,3rd June,2,4,4,3,1,14,,,,,0,30/06/2022 17:00
Saturday,4th June,3,6,6,4,,19,,,,,0,30/06/2022 17:00
Sunday,5th June,Closed,,,,,,,,,,0,30/06/2022 17:00
Monday,6th June,6,9,2,2,4,23,,,,,0,30/06/2022 17:00
Tuesday,7th June,6,5,4,3,5,23,,4,5,,9,30/06/2022 17:00
Wednesday,8th June,11,8,7,2,,28,,,,,0,30/06/2022 17:00
Thursday,9th June,4,9,4,1,,18,,,4,,4,30/06/2022 17:00
Friday,10th June,4,10,6,4,1,25,,,,,0,30/06/2022 17:00
Saturday,11th June,2,1,3,3,2,11,,,,,0,30/06/2022 17:00
Sunday,12th June,Closed,,,,,,,,,,,30/06/2022 17:00
Monday,13th June,9,9,12,5,3,38,,,,,0,30/06/2022 17:00
Tuesday,14th June,3,6,11,7,1,28,,6,4,,10,30/06/2022 17:00
Wednesday,15th June,6,5,11,1,1,24,,,,,0,30/06/2022 17:00
Thursday,16th June,4,10,8,4,5,31,,2,2,,4,30/06/2022 17:00
Friday,17th June,7,8,4,5,,24,,,,,0,30/06/2022 17:00
Saturday,18th June,6,4,5,7,1,23,,,,,0,30/06/2022 17:00
Sunday,19th June,Closed,,,,,,,,,,,30/06/2022 17:00
Monday,20th June,6,10,6,2,4,28,,,,,0,30/06/2022 17:00
Tuesday,21st June,3,5,5,8,1,22,4,2,2,,8,30/06/2022 17:00
Wednesday,22nd June,4,10,5,4,1,24,,,,,0,30/06/2022 17:00
Thursday,23rd June,6,6,3,2,1,18,,6,4,,10,30/06/2022 17:00
Friday,24th June,4,9,4,3,3,23,,,,,0,30/06/2022 17:00
Saturday,25th June,,9,4,2,,15,,,,,0,30/06/2022 17:00
Sunday,26th June,Closed,,,,,,,,,,,30/06/2022 17:00
Monday,27th June,2,8,6,3,,19,,,,,0,30/06/2022 17:00
Tuesday,28th June,3,8,5,4,,20,,4,8,,12,30/06/2022 17:00
Wednesday,29th June,2,7,4,13,3,29,,,,,0,30/06/2022 17:00
Thursday,30th June,5,6,9,5,5,30,,1,1,,2,30/06/2022 17:00
